session_id,pred_ryota_nn,q,truth
20090312431273200,0.50421154,1,1
20090313091715820,0.41110665,1,0
20090317111400710,0.57607436,1,1
20090317414400068,0.62564033,1,1
20090320140443148,0.4378641,1,0
20100006432365430,0.49091005,1,0
20100007011166932,0.6132334,1,1
20100008262217530,0.5862367,1,1
20100009560590796,0.49860758,1,0
20100010540710908,0.5308263,1,1
20100012492111156,0.51949435,1,0
20100012523954740,0.46472242,1,0
20090313571836404,0.5819748,1,1
20090314121766812,0.60116893,1,1
20090314221187252,0.45126992,1,0
20090314441803444,0.5609117,1,1
20090315170769824,0.5762788,1,1
20090317080721164,0.5863681,1,0
20090318021527530,0.5039475,1,0
20100000291486630,0.49711508,1,0
20100009003806170,0.4832341,1,1
20100012035069724,0.5547571,1,1
20100012495345730,0.57103664,1,0
20100012562027690,0.4812571,1,0
20090312433251036,0.5524098,1,0
20090315270479452,0.38266915,1,0
20090316152177500,0.6673102,1,1
20090318322359292,0.6453987,1,1
20090318541618010,0.56618994,1,1
20100010554738616,0.67415404,1,0
20100011033647636,0.59356475,1,1
20100011394713344,0.5224876,1,1
20100012014517956,0.5902205,1,1
20100012540000424,0.5752967,1,1
20100013054800856,0.5575184,1,0
20100013123715416,0.5956477,1,1
20090312455206810,0.47273874,1,1
20090314363702160,0.54569674,1,1
20090315085850788,0.5542379,1,1
20090315101457836,0.53705317,1,1
20090316190523732,0.5513402,1,1
20100008572266050,0.5768663,1,0
20100009385330468,0.45746875,1,1
20100011003256550,0.53124833,1,1
20100011571871700,0.5814233,1,1
20100012363755750,0.58042634,1,1
20100013062325450,0.5614263,1,1
20100013473331852,0.5822278,1,1
20090314035813970,0.6487008,1,1
20090315081004164,0.6457188,1,0
20090319012741024,0.6614035,1,0
20100000404860470,0.649006,1,1
20100007445515820,0.5785381,1,0
20100008103581056,0.6521065,1,1
20100009303098716,0.64753294,1,0
20100009314461780,0.65518725,1,1
20100011050028640,0.675008,1,1
20100011274731204,0.56655306,1,1
20100011290663880,0.6443189,1,0
20100012471966900,0.65174675,1,0
20090312431273200,0.98699796,2,1
20090313091715820,0.98712546,2,1
20090317111400710,0.98567396,2,1
20090317414400068,0.9862467,2,1
20090320140443148,0.9881813,2,1
20100006432365430,0.9884039,2,1
20100007011166932,0.98699653,2,1
20100008262217530,0.9877843,2,1
20100009560590796,0.9885317,2,1
20100010540710908,0.9883393,2,1
20100012492111156,0.98897785,2,1
20100012523954740,0.98861545,2,1
20090313571836404,0.9152983,2,1
20090314121766812,0.911734,2,1
20090314221187252,0.92387015,2,1
20090314441803444,0.9154452,2,1
20090315170769824,0.9094624,2,1
20090317080721164,0.91500497,2,0
20090318021527530,0.91777855,2,1
20100000291486630,0.9271659,2,1
20100009003806170,0.9264965,2,1
20100012035069724,0.92637527,2,1
20100012495345730,0.91842216,2,1
20100012562027690,0.9225934,2,1
20090312433251036,0.9929414,2,1
20090315270479452,0.98975664,2,1
20090316152177500,0.9924154,2,1
20090318322359292,0.9926125,2,1
20090318541618010,0.99342316,2,1
20100010554738616,0.99245244,2,1
20100011033647636,0.9930166,2,1
20100011394713344,0.99318224,2,1
